"","lng","lat"
"566",-0.173173,51.485813
"567",-0.192506,51.488631
"568",-0.173752,51.482135
"569",-0.193368,51.492331
"570",-0.20086,51.517895
"571",-0.199065,51.508605
"572",-0.17069,51.486674
"573",-0.158682,51.484418
"574",-0.192678,51.509766
"575",-0.164725,51.4989
"576",-0.170834,51.486676
"577",-0.185591,51.485017
"578",-0.19559,51.494433
"579",-0.21485,51.506598
"580",-0.156726,51.490052
"581",-0.166482,51.498208
"582",-0.195479,51.489935
"583",-0.180159,51.491227
"584",-0.168789,51.494558
"585",-0.15588,51.489589
"586",-0.200271,51.492617
"587",-0.210643,51.49997
"588",-0.156754,51.49293
"589",-0.159124,51.50205
"590",-0.197452,51.491045
"591",-0.18113,51.488545
"592",-0.191706,51.501568
"593",-0.178751,51.490396
"594",-0.170744,51.496117
"595",-0.150127,51.485812
"596",-0.190968,51.502006
"597",-0.183491,51.50162
"598",-0.15584,51.490578
"599",-0.192986,51.49835
"600",-0.184316,51.480861
"601",-0.192506,51.488631
"602",-0.214141,51.502631
"603",-0.158416,51.494575
"604",-0.225346,51.522045
"605",-0.181469,51.480007
"606",-0.21173,51.520039
"607",-0.162644,51.500486
"608",-0.196602,51.490672
"609",-0.159673,51.491987
"610",-0.17461,51.500314
"611",-0.193878,51.504928
"612",-0.195309,51.494249
"613",-0.195136,51.487682
"614",-0.205446,51.514908
"615",-0.174854,51.494202
"616",-0.20209,51.493994
"617",-0.184172,51.480858
"618",-0.179606,51.497873
"619",-0.176224,51.481544
"620",-0.167648,51.49427
"621",-0.221874,51.522352
"622",-0.194468,51.497294
"623",-0.169743,51.488727
"624",-0.181821,51.489275
"625",-0.195136,51.487682
"626",-0.198871,51.49889
"627",-0.19859,51.498706
"628",-0.161008,51.491019
"629",-0.183298,51.481115
"630",-0.201344,51.498299
"631",-0.215514,51.508047
"632",-0.167361,51.483474
"633",-0.18113,51.488545
"634",-0.159991,51.501974
"635",-0.181693,51.481629
"636",-0.177628,51.486062
"637",-0.205256,51.516074
"638",-0.182747,51.494955
"639",-0.184116,51.485893
"640",-0.179134,51.495258
"641",-0.096502,51.514539
"642",-0.088481,51.509912
"643",-0.088637,51.513062
"644",-0.104948,51.515935
"645",-0.102945,51.51905
"646",-0.081489,51.511687
"647",-0.079765,51.518403
"648",-0.09679,51.514544
"649",-0.08523,51.511838
"650",-0.100631,51.515775
"651",-0.086859,51.510785
"652",-0.079773,51.518223
"653",-0.079917,51.518225
"654",-0.08014,51.509506
"655",-0.104568,51.51467
"656",-0.104734,51.514133
"657",-0.094144,51.512343
"658",-0.094938,51.517481
"659",-0.100775,51.515777
"660",-0.097426,51.520039
"661",-0.079769,51.518313
"662",-0.088893,51.517293
"663",-0.0932,51.510798
"664",-0.097217,51.511223
"665",-0.083824,51.514423
"666",-0.08312,51.517468
"667",-0.089634,51.513348
"668",-0.102701,51.511042
"669",-0.092692,51.512589
"670",-0.078555,51.50948
"671",-0.105309,51.517649
"672",-0.103049,51.516534
"673",-0.088344,51.50973
"674",-0.088752,51.517201
"675",-0.0932,51.510798
"676",-0.107913,51.517421
"677",-0.08523,51.511838
"678",-0.085856,51.514096
"679",-0.079355,51.511022
"680",-0.07693,51.51386
"681",-0.080723,51.509336
"682",-0.104107,51.511875
"683",-0.092545,51.512676
"684",-0.083414,51.510459
"685",-0.093786,51.517462
"686",-0.08523,51.511838
"687",-0.078962,51.520368
"688",-0.087336,51.509714
"689",-0.097636,51.515007
"690",-0.104366,51.512598
"691",-0.093646,51.51737
"692",-0.104581,51.510893
"693",-0.088213,51.512875
"694",-0.090726,51.514805
"695",-0.091295,51.514994
"696",-0.084612,51.512817
"697",-0.0889,51.517113
"698",-0.107614,51.517686
"699",-0.080376,51.517603
"700",-0.081736,51.516097
"701",-0.098713,51.516823
"702",-0.090478,51.510394
"703",-0.09699,51.520122
"704",-0.093203,51.510709
"705",-0.106319,51.514158
"706",-0.106393,51.512361
"707",-0.097671,51.517615
"708",-0.100487,51.515773
"709",-0.102535,51.518504
"710",-0.100631,51.515775
"711",-0.086791,51.512403
"712",-0.085381,51.51166
"713",-0.104347,51.513047
"714",-0.083081,51.511533
"715",-0.087995,51.507746
"716",-0.078411,51.509478
"717",-0.075372,51.509788
"718",-0.081489,51.511687
"719",-0.087093,51.518972
"720",-0.089218,51.516399
"721",-0.082296,51.509631
"722",-0.089718,51.514788
"723",-0.104446,51.514128
"724",-0.078707,51.51272
"725",-0.078788,51.521085
"726",-0.079359,51.510932
"727",-0.090478,51.510394
"728",-0.102269,51.511035
"729",-0.073128,51.511729
"730",-0.105309,51.517649
"731",-0.083828,51.514333
"732",-0.083085,51.51486
"733",-0.100717,51.513708
"734",-0.084052,51.515865
"735",-0.0968,51.517781
"736",-0.103524,51.512045
"737",-0.096574,51.512832
"738",-0.088169,51.50703
"739",-0.108609,51.511048
"740",-0.076475,51.514392
"741",-0.091198,51.510406
"742",-0.079355,51.511022
"743",-0.097232,51.517788
"744",-0.089774,51.51344
"745",-0.096815,51.517422
"746",-0.090434,51.51489
"747",-0.091211,51.513554
"748",-0.08843,51.518005
"749",-0.080978,51.516984
"750",-0.108321,51.511043
"751",-0.100631,51.515775
"752",-0.105309,51.517649
"753",-0.074315,51.507522
"754",-0.104446,51.514128
"755",-0.079106,51.52037
"756",-0.101912,51.516155
"757",-0.088505,51.51279
"758",-0.080852,51.509698
"759",-0.097329,51.515452
"760",-0.089722,51.514699
"761",-0.089037,51.517295
"762",-0.104584,51.510803
"763",-0.099905,51.51936
"764",-0.078886,51.515331
"765",-0.100631,51.515775
"766",-0.08648,51.50952
"767",-0.101628,51.516061
"768",-0.087424,51.511064
"769",-0.08662,51.509612
"770",-0.096934,51.514546
"771",-0.080428,51.509511
"772",-0.097314,51.515811
"773",-0.080978,51.516984
"774",-0.091639,51.513651
"775",-0.09963,51.515579
"776",-0.074315,51.514357
"777",-0.089218,51.516399
"778",-0.088487,51.506315
"779",-0.088344,51.50973
"780",-0.079917,51.518225
"781",-0.104878,51.514135
"782",-0.083941,51.511637
"783",-0.08597,51.514817
"784",-0.079848,51.509591
"785",-0.104369,51.512508
"786",-0.10319,51.516626
"787",-0.0932,51.510798
"788",-0.083941,51.511637
"789",-0.081551,51.517083
"790",-0.085378,51.51175
"791",-0.086887,51.51699
"792",-0.089714,51.514878
"793",-0.083597,51.516397
"794",-0.087822,51.51188
"795",-0.102675,51.518596
"796",-0.089058,51.513339
"797",-0.076073,51.513666
"798",-0.088896,51.517203
"799",-0.089965,51.515782
"800",-0.104373,51.512418
"801",-0.092859,51.512052
"802",-0.100631,51.515775
"803",-0.080152,51.516071
"804",-0.098487,51.511873
"805",-0.096674,51.51733
"806",-0.113789,51.518235
"807",-0.092775,51.520953
"808",-0.10459,51.51413
"809",-0.102125,51.511033
"810",-0.09334,51.510891
"811",-0.074792,51.509868
"812",-0.080852,51.509698
"813",-0.108321,51.511043
"814",-0.089058,51.513339
"815",-0.08662,51.509612
"816",-0.09679,51.514544
"817",-0.081392,51.520857
"818",-0.108177,51.511041
"819",-0.102413,51.511038
"820",-0.081736,51.516097
"821",-0.075376,51.509698
"822",-0.11109,51.513786
"823",-0.080523,51.517516
"824",-0.09757,51.520042
"825",-0.109583,51.51538
"826",-0.104104,51.511964
"827",-0.096151,51.516062
"828",-0.103573,51.517801
"829",-0.093196,51.510888
"830",-0.093056,51.510796
"831",-0.096934,51.514546
"832",-0.105309,51.517649
"833",-0.10194,51.512019
"834",-0.108037,51.510949
"835",-0.080485,51.514997
"836",-0.103049,51.516534
"837",-0.083601,51.516307
"838",-0.091339,51.52084
"839",-0.08648,51.50952
"840",-0.090714,51.511657
"841",-0.085855,51.510679
"842",-0.085599,51.51679
"843",-0.080284,51.509509
"844",-0.07607,51.513756
"845",-0.07607,51.513756
"846",-0.093196,51.510888
"847",-0.08044,51.516076
"848",-0.086999,51.510877
"849",-0.092343,51.510605
"850",-0.097815,51.517618
"851",-0.081266,51.516989
"852",-0.079166,51.515515
"853",-0.099617,51.519356
"854",-0.097076,51.518055
"855",-0.086571,51.51078
"856",-0.087955,51.512152
"857",-0.096461,51.515528
"858",-0.080523,51.517516
"859",-0.107614,51.517686
"860",-0.092343,51.510605
"861",-0.085692,51.511126
"862",-0.074463,51.514269
"863",-0.080575,51.509423
"864",-0.080527,51.517426
"865",-0.109228,51.516993
"866",-0.107899,51.514274
"867",-0.101717,51.513904
"868",-0.088505,51.51279
"869",-0.100849,51.51398
"870",-0.097271,51.520307
"871",-0.087743,51.513767
"872",-0.100288,51.513611
